,input,output,reaction_type,reactants,reagents,products,any_correct,all_correct,not_common,missed
1123,CCCc1c(C(=O)OCC)oc2cccc(OCCCNC(C)(C)C)c12,CCCc1c(C(=O)OCC)oc2cccc(OCCCN(C(=O)OC(C)(C)C)C(C)(C)C)c12,6,"['CC(C)(C)NCCCCl', 'CCCc1c(C(=O)OCC)oc2cccc(O)c12']",[],['CCCc1c(C(=O)OCC)oc2cccc(OCCCNC(C)(C)C)c12'],0.0,0.0,"['CC(C)(C)NCCCCl', 'CCCc1c(C(=O)OCC)oc2cccc(O)c12']",['CCCc1c(C(=O)OCC)oc2cccc(OCCCN(C(=O)OC(C)(C)C)C(C)(C)C)c12']
1147,Cn1cc(OCCCc2nc3ccccc3n2C)c(=O)c(-c2ccnn2-c2ccccc2)n1,Cn1c(CCCO)nc2ccccc21.Cn1cc(O)c(=O)c(-c2ccnn2-c2ccccc2)n1,1,"['Cn1cc(O)c(=O)c(Br)n1', 'c1ccc(-n2cccn2)cc1', 'Cn1c(CCCBr)nc2ccccc21']",[],['Cn1cc(OCCCc2nc3ccccc3n2C)c(=O)c(-c2ccnn2-c2ccccc2)n1'],0.0,0.0,"['Cn1cc(O)c(=O)c(Br)n1', 'c1ccc(-n2cccn2)cc1', 'Cn1c(CCCBr)nc2ccccc21']","['Cn1c(CCCO)nc2ccccc21', 'Cn1cc(O)c(=O)c(-c2ccnn2-c2ccccc2)n1']"
1149,CC(C)(Cc1c[nH]c2c(Oc3ncccc3C#N)cccc12)NC(=O)OC(C)(C)C,CC(C)(Cc1c[nH]c2c(O)cccc12)NC(=O)OC(C)(C)C.N#Cc1cccnc1Cl,1,"['CC(C)(Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C', 'N#Cc1cncc(C(=O)Cl)c1']",[],['CC(C)(Cc1c[nH]c2c(Oc3ncccc3C#N)cccc12)NC(=O)OC(C)(C)C'],0.0,0.0,"['CC(C)(Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C', 'N#Cc1cncc(C(=O)Cl)c1']","['CC(C)(Cc1c[nH]c2c(O)cccc12)NC(=O)OC(C)(C)C', 'N#Cc1cccnc1Cl']"
1190,C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NNC(=O)[C@H](CC2CCCC2)CN(C=O)OCc2ccccc2)c1F,C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NN)c1F.O=CN(C[C@@H](CC1CCCC1)C(=O)O)OCc1ccccc1,2,"['C[C@@H]1CN(C)CCN1c1nc(Cl)nc(N)c1F', 'O=C(Cl)[C@H](CC1CCCC1)CN(C=O)OCc1ccccc1']",[],['C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NNC(=O)[C@H](CC2CCCC2)CN(C=O)OCc2ccccc2)c1F'],0.0,0.0,"['C[C@@H]1CN(C)CCN1c1nc(Cl)nc(N)c1F', 'O=CN(C[C@@H](CC1CCCC1)C(=O)Cl)OCc1ccccc1']","['C[C@@H]1CN(C)CCN1c1nc(Cl)nc(NN)c1F', 'O=CN(C[C@@H](CC1CCCC1)C(=O)O)OCc1ccccc1']"
1217,Fc1cccc(OCC2CCOC2)c1Nc1nc(Cl)ncc1Cl,OCC1CCOC1.Oc1cccc(F)c1Nc1nc(Cl)ncc1Cl,1,"['Fc1cccc(OCC2CCOC2)c1', 'Nc1cnc(Cl)nc1Cl']",[],['Fc1cccc(OCC2CCOC2)c1Nc1nc(Cl)ncc1Cl'],0.0,0.0,"['Fc1cccc(OCC2CCOC2)c1', 'Nc1cnc(Cl)nc1Cl']","['OCC1CCOC1', 'Oc1cccc(F)c1Nc1nc(Cl)ncc1Cl']"
1310,O=C(N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1)C(F)(F)F,Nc1ncns1.O=C(N1CCC(c2ccc(S(=O)(=O)Cl)cc2)CC1)C(F)(F)F,2,"['O=C(Cl)C(F)(F)F', 'N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1']",[],['O=C(N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1)C(F)(F)F'],0.0,0.0,"['O=C(Cl)C(F)(F)F', 'O=S(=O)(Nc1ncns1)c1ccc(C2CCNCC2)cc1']","['Nc1ncns1', 'O=C(N1CCC(c2ccc(S(=O)(=O)Cl)cc2)CC1)C(F)(F)F']"
1373,CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)O)CCN3C=O)cc1,CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3C=O)cc1,6,['CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OCC)CCN3C=O)cc1'],[],['CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)O)CCN3C=O)cc1'],0.0,0.0,['CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OCC)CCN3C=O)cc1'],['CCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)OC)CCN3C=O)cc1']
1413,C(=C1CCNCC1)c1cccc(OCc2ccccc2)c1,CC(C)(C)OC(=O)N1CCC(=Cc2cccc(OCc3ccccc3)c2)CC1,6,"['OCc1ccccc1', 'Fc1cccc(C=C2CCNCC2)c1']",[],['C(=C1CCNCC1)c1cccc(OCc2ccccc2)c1'],0.0,0.0,"['OCc1ccccc1', 'Fc1cccc(C=C2CCNCC2)c1']",['CC(C)(C)OC(=O)N1CCC(=Cc2cccc(OCc3ccccc3)c2)CC1']
1441,COC(=O)C(C(=O)OC)C(Cc1c(N)cccc1C(F)(F)F)c1ccc(OC)cc1,COC(=O)C(C(=O)OC)C(Cc1c([N+](=O)[O-])cccc1C(F)(F)F)c1ccc(OC)cc1,7,"['COC(=O)C(C(=O)OC)C(Cc1ccccc1N)c1ccc(OC)cc1', 'NCc1cccc(C(F)(F)F)c1']",[],['COC(=O)C(C(=O)OC)C(Cc1c(N)cccc1C(F)(F)F)c1ccc(OC)cc1'],0.0,0.0,"['COC(=O)C(C(=O)OC)C(Cc1ccccc1N)c1ccc(OC)cc1', 'NCc1cccc(C(F)(F)F)c1']",['COC(=O)C(C(=O)OC)C(Cc1c([N+](=O)[O-])cccc1C(F)(F)F)c1ccc(OC)cc1']
1479,O=S(=O)(Cl)c1ccc(CBr)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.O=C1CCC(=O)N1Br,10,"['O=P(Cl)(Cl)Cl', 'O=S(=O)(O)c1ccc(CBr)cc1']",[],['O=S(=O)(Cl)c1ccc(CBr)cc1'],0.0,0.0,"['O=P(Cl)(Cl)Cl', 'O=S(=O)(O)c1ccc(CBr)cc1']","['Cc1ccc(S(=O)(=O)Cl)cc1', 'O=C1CCC(=O)N1Br']"
1498,CCOC(=O)C(O)c1csc(NS(C)(=O)=O)n1,CCOC(=O)C(=O)c1csc(NS(C)(=O)=O)n1,7,"['CCOC(=O)C(O)c1cscn1', 'ClS(=O)(=O)NS(C)(=O)=O']",[],['CCOC(=O)C(O)c1csc(NS(C)(=O)=O)n1'],0.0,0.0,"['CCOC(=O)C(O)c1cscn1', 'CS(=O)(=O)NS(=O)(=O)Cl']",['CCOC(=O)C(=O)c1csc(NS(C)(=O)=O)n1']
1509,CCC(=O)[O-],Nc1ccc2[nH]c(=O)c3[nH]ccc3c2c1.O=C(Cl)c1ccccc1,2,['CCC(=O)OC'],[],['CCC(=O)[O-]'],0.0,0.0,['CCC(=O)OC'],"['Nc1ccc2[nH]c(=O)c3[nH]ccc3c2c1', 'O=C(Cl)c1ccccc1']"
1575,CCOC(=O)C(Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC,CCOC(=O)C(=Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC,7,"['CCOC(=O)C(Cc1cccc(O)c1)OCC', 'CS(=O)(=O)Oc1ccc(CCO)cc1']",[],['CCOC(=O)C(Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC'],0.0,0.0,"['CCOC(=O)C(Cc1cccc(O)c1)OCC', 'CS(=O)(=O)Oc1ccc(CCO)cc1']",['CCOC(=O)C(=Cc1cccc(OCCc2ccc(OS(C)(=O)=O)cc2)c1)OCC']
1576,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C,6,['CC(C)CNCC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C'],[],['CC(C)CNC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C'],0.0,0.0,['CC(C)CNCC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C'],['CC(C)CNC[C@@H](O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C']
1597,COC(=O)[C@@H](N)Cc1ccc(OC(=O)NC(C)C)cc1,COC(=O)[C@H](Cc1ccc(OC(=O)NC(C)C)cc1)NC(=O)OC(C)(C)C,6,['CCOC(=O)[C@@H](N)Cc1ccc(OC(=O)NC(C)C)cc1'],[],['COC(=O)[C@@H](N)Cc1ccc(OC(=O)NC(C)C)cc1'],0.0,0.0,['CCOC(=O)[C@@H](N)Cc1ccc(OC(=O)NC(C)C)cc1'],['COC(=O)[C@H](Cc1ccc(OC(=O)NC(C)C)cc1)NC(=O)OC(C)(C)C']
1606,C#Cc1cc(C=O)c(N2C[C@@H](C)O[C@@H](C)C2)c(F)c1F,C[C@H]1CN(c2c(C=O)cc(C#C[Si](C)(C)C)c(F)c2F)C[C@@H](C)O1,6,"['CN(C)C=O', 'C#Cc1ccc(N2C[C@@H](C)O[C@@H](C)C2)c(F)c1F']",[],['C#Cc1cc(C=O)c(N2C[C@@H](C)O[C@@H](C)C2)c(F)c1F'],0.0,0.0,"['CN(C)C=O', 'C#Cc1ccc(N2C[C@@H](C)O[C@@H](C)C2)c(F)c1F']",['C[C@@H]1CN(c2c(C=O)cc(C#C[Si](C)(C)C)c(F)c2F)C[C@H](C)O1']
1617,O=C(Nc1ccccc1OCCCO)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1,CC(C)(C)[Si](C)(C)OCCCOc1ccccc1NC(=O)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1,6,"['Nc1ccccc1OCCCO', 'O=C(O)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1']",[],['O=C(Nc1ccccc1OCCCO)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1'],0.0,0.0,"['Nc1ccccc1OCCCO', 'O=C(O)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1']",['CC(C)(C)[Si](C)(C)OCCCOc1ccccc1NC(=O)c1cc(Cl)c(OCc2ccccc2)c(Cl)c1']
1650,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,C=O.COc1cc2c(cc1OC)CC(=O)N(CCCNC[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1,"['COc1cc2c(cc1OC)CC(=O)NCC2', 'COc1cc2c(cc1OC)[C@@H](CN(C)CCCCl)C2']",[],['COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2'],0.0,0.0,"['COc1cc2c(cc1OC)CC(=O)NCC2', 'COc1cc2c(cc1OC)[C@@H](CN(C)CCCCl)C2']","['C=O', 'COc1cc2c(cc1OC)CC(=O)N(CCCNC[C@H]1Cc3cc(OC)c(OC)cc31)CC2']"
1671,COc1ccccc1CNCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1,COc1ccccc1C=O.NCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1,1,"['COc1ccccc1CNCCCCBr', 'NC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1']",[],['COc1ccccc1CNCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1'],0.0,0.0,"['COc1ccccc1CNCCCCBr', 'NC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1']","['COc1ccccc1C=O', 'NCCCCNC(=O)c1ccc(CN(Cc2ncc[nH]2)Cc2ncc[nH]2)cc1']"
1683,CC1C[N+](C)(Cc2ccccc2)CCC1=O,CC1CN(Cc2ccccc2)CCC1=O.CI,1,['CC1CCCN(Cc2ccccc2)C1'],['O=C=O'],['CC1C[N+](C)(Cc2ccccc2)CCC1=O'],0.0,0.0,"['CC1CCCN(Cc2ccccc2)C1', 'O=C=O']","['CC1CN(Cc2ccccc2)CCC1=O', 'CI']"
1684,CN1C(=O)C(CCN2CCN(c3ccc(F)cc3)CC2)Sc2ccccc21,CN1C(=O)C(CCCl)Sc2ccccc21.Fc1ccc(N2CCNCC2)cc1,1,"['CN1C(=O)CSc2ccccc21', 'FCCN1CCN(c2ccc(F)cc2)CC1']",[],['CN1C(=O)C(CCN2CCN(c3ccc(F)cc3)CC2)Sc2ccccc21'],0.0,0.0,"['CN1C(=O)CSc2ccccc21', 'FCCN1CCN(c2ccc(F)cc2)CC1']","['CN1C(=O)C(CCCl)Sc2ccccc21', 'Fc1ccc(N2CCNCC2)cc1']"
1691,CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)O)c3ccc(F)cc23)c2ccccc2c1=O,CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)OC(C)(C)C)c3ccc(F)cc23)c2ccccc2c1=O,6,"['CCC(O)(CC)Cn1nc(-c2c(C)n(CC#N)c3ccc(F)cc23)c2ccccc2c1=O', 'N#CCn1c(C)c2cc(F)ccc2c1-c1nc2ccccc2c(=O)n1CC(O)(CC)CC', 'CCC(O)(CC)CC(=O)O']",[],['CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)O)c3ccc(F)cc23)c2ccccc2c1=O'],0.0,0.0,"['CCC(O)(CC)Cn1nc(-c2c(C)n(CC#N)c3ccc(F)cc23)c2ccccc2c1=O', 'CCC(O)(CC)Cn1c(-c2c3ccc(F)cc3c(C)n2CC#N)nc2ccccc2c1=O', 'CCC(O)(CC)CC(=O)O']",['CCC(O)(CC)Cn1nc(-c2c(C)n(CC(=O)OC(C)(C)C)c3ccc(F)cc23)c2ccccc2c1=O']
1702,CCOC(=O)[C@@H](CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1)N[C@H]1COc2ccccc2N(CC(=O)OC(C)(C)C)C1=O,CC(C)(C)OC(=O)CN1C(=O)[C@@H](N)COc2ccccc21.CCOC(=O)C(=O)CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1,1,"['CCOC(=O)[C@@H](CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1)N', 'CC(C)(C)OC(=O)CN1C(=O)[C@H](N)COc2ccccc21']",[],['CCOC(=O)[C@@H](CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1)N[C@H]1COc2ccccc2N(CC(=O)OC(C)(C)C)C1=O'],0.0,0.0,"['CCOC(=O)[C@H](N)CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1', 'CC(C)(C)OC(=O)CN1C(=O)[C@H](N)COc2ccccc21']","['CC(C)(C)OC(=O)CN1C(=O)[C@@H](N)COc2ccccc21', 'CCOC(=O)C(=O)CCCCCCC1CCN(C(=O)OCc2ccccc2)CC1']"
1730,CCc1c(-c2cn(-c3cc(C(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4C)ccc3C)cn2)cnn1-c1ccccc1,CCc1c(-c2cn(-c3cc(C(=O)OC)ccc3C)cn2)cnn1-c1ccccc1.Cc1c(N)cc(C(C)(C)C)cc1NS(C)(=O)=O,2,"['CCc1c(B(O)O)cnn1-c1ccccc1', 'c1cn(-c2cc(C(=O)Nc3cc(C(C)(C)C)cc(NS(C)(=O)=O)c3C)ccc2C)cn1']",[],['CCc1c(-c2cn(-c3cc(C(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4C)ccc3C)cn2)cnn1-c1ccccc1'],0.0,0.0,"['CCc1c(B(O)O)cnn1-c1ccccc1', 'Cc1ccc(C(=O)Nc2cc(C(C)(C)C)cc(NS(C)(=O)=O)c2C)cc1-n1ccnc1']","['CCc1c(-c2cn(-c3cc(C(=O)OC)ccc3C)cn2)cnn1-c1ccccc1', 'Cc1c(N)cc(C(C)(C)C)cc1NS(C)(=O)=O']"
1732,Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCNC3)ccc21,Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCN(C(=O)OC(C)(C)C)C3)ccc21,6,"['N[C@@H]1CCNC1', 'Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)O)ccc21']",[],['Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCNC3)ccc21'],0.0,0.0,"['N[C@@H]1CCNC1', 'Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)O)ccc21']",['Cn1c(Nc2nc3ccc(Cl)cc3s2)nc2cc(C(=O)N[C@@H]3CCN(C(=O)OC(C)(C)C)C3)ccc21']
1737,NNC(=O)c1ncccc1O,COC(=O)c1ncccc1O.NN,2,['CC(C)(C)OC(=O)NNC(=O)c1ncccc1O'],[],['NNC(=O)c1ncccc1O'],0.0,0.0,['CC(C)(C)OC(=O)NNC(=O)c1ncccc1O'],"['COC(=O)c1ncccc1O', 'NN']"
1758,COC(=O)C(C)c1ccc(-c2ccc(-c3nc(C(N)=O)c(C)nc3C)cc2)c(Cl)c1,COC(=O)C(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c(Cl)c1.Cc1nc(C)c(-c2ccc(OS(=O)(=O)C(F)(F)F)cc2)nc1C(N)=O,3,['COC(=O)C(C)c1ccc(-c2ccc(-c3nc(C(N)=O)c(C)nc3C)cc2)cc1'],['Cl'],['COC(=O)C(C)c1ccc(-c2ccc(-c3nc(C(N)=O)c(C)nc3C)cc2)c(Cl)c1'],0.0,0.0,"['COC(=O)C(C)c1ccc(-c2ccc(-c3nc(C(N)=O)c(C)nc3C)cc2)cc1', 'Cl']","['COC(=O)C(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c(Cl)c1', 'Cc1nc(C)c(-c2ccc(OS(=O)(=O)C(F)(F)F)cc2)nc1C(N)=O']"
1780,CC(=O)Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1,CC(=O)OC(C)=O.Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1,2,"['CC(N)=O', 'Brc1cc2c3c(c1)c1c(n3CCC2)CCCC1']",[],['CC(=O)Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1'],0.0,0.0,"['CC(N)=O', 'Brc1cc2c3c(c1)c1c(n3CCC2)CCCC1']","['CC(=O)OC(C)=O', 'Nc1cc2c3c(c1)c1c(n3CCC2)CCCC1']"
1783,CC(=O)C(C(N)=O)c1ccc(C(C)C)cc1,CC(C)c1ccc(C(C(N)=O)C2(C)OCCO2)cc1,6,"['O=C(O)O', 'CC(=O)C(C#N)c1ccc(C(C)C)cc1']",[],['CC(=O)C(C(N)=O)c1ccc(C(C)C)cc1'],0.0,0.0,"['O=C(O)O', 'CC(=O)C(C#N)c1ccc(C(C)C)cc1']",['CC(C)c1ccc(C(C(N)=O)C2(C)OCCO2)cc1']
1793,CN1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=O)c5ccnn(-c6ccc(F)cc6)c5=O)cc4F)c3s2)CC1,CN1CCNCC1.O=C(O)c1cc2nccc(Oc3ccc(NC(=O)c4ccnn(-c5ccc(F)cc5)c4=O)cc3F)c2s1,2,"['O=C(O)c1ccnn(-c2ccc(F)cc2)c1=O', 'CN1CCN(C(=O)c2cc3nccc(Oc4ccc(N)cc4F)c3s2)CC1']",[],['CN1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=O)c5ccnn(-c6ccc(F)cc6)c5=O)cc4F)c3s2)CC1'],0.0,0.0,"['O=C(O)c1ccnn(-c2ccc(F)cc2)c1=O', 'CN1CCN(C(=O)c2cc3nccc(Oc4ccc(N)cc4F)c3s2)CC1']","['CN1CCNCC1', 'O=C(O)c1cc2nccc(Oc3ccc(NC(=O)c4ccnn(-c5ccc(F)cc5)c4=O)cc3F)c2s1']"
1795,CC(C)Oc1ccc(-c2nc(-c3cccc(CCCC(=O)O)c3C(F)(F)F)no2)cc1C#N,CCOC(=O)CCCc1cccc(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)c1C(F)(F)F,6,"['CC(C)Oc1ccc(-c2nc(-c3cccc(CCCC#N)c3C(F)(F)F)no2)cc1C#N', 'CCCCC#N']",[],['CC(C)Oc1ccc(-c2nc(-c3cccc(CCCC(=O)O)c3C(F)(F)F)no2)cc1C#N'],0.0,0.0,"['CC(C)Oc1ccc(-c2nc(-c3cccc(CCCC#N)c3C(F)(F)F)no2)cc1C#N', 'CCCCC#N']",['CCOC(=O)CCCc1cccc(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)c1C(F)(F)F']
1862,COC(=O)NC(=S)Nc1ccc(SCSC)cc1[N+](=O)[O-],COC(=O)N=C=S.CSCSc1ccc(N)c([N+](=O)[O-])c1,2,"['COC(N)=O', 'CSCSc1ccc(N=C=S)c([N+](=O)[O-])c1']",[],['COC(=O)NC(=S)Nc1ccc(SCSC)cc1[N+](=O)[O-]'],0.0,0.0,"['COC(N)=O', 'CSCSc1ccc(N=C=S)c([N+](=O)[O-])c1']","['COC(=O)N=C=S', 'CSCSc1ccc(N)c([N+](=O)[O-])c1']"
1880,O=C1CCc2cc(C(O)c3ccccc3)ccc2N1,O=C1CCc2cc(C(=O)c3ccccc3)ccc2N1,7,"['Brc1ccccc1', 'O=Cc1ccc2c(c1)CCC(=O)N2']",[],['O=C1CCc2cc(C(O)c3ccccc3)ccc2N1'],0.0,0.0,"['Brc1ccccc1', 'O=Cc1ccc2c(c1)CCC(=O)N2']",['O=C1CCc2cc(C(=O)c3ccccc3)ccc2N1']
1923,COCCc1cc(C)c(C)c(C(=O)OC)c1,CI.COC(=O)c1cc(CCO)cc(C)c1C,1,"['COCCc1cc(C)c(C)c(C(=O)Cl)c1', 'COC(=O)OC']",[],['COCCc1cc(C)c(C)c(C(=O)OC)c1'],0.0,0.0,"['COCCc1cc(C)c(C)c(C(=O)Cl)c1', 'COC(=O)OC']","['CI', 'COC(=O)c1cc(CCO)cc(C)c1C']"
2020,CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)cn1,CCC(C)(C)Cc1c[nH]cn1.CN(C)S(=O)(=O)Cl,2,['O=S(=O)(N(C)C)N(C)C'],[],['CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)cn1'],0.0,0.0,['CN(C)S(=O)(=O)N(C)C'],"['CCC(C)(C)Cc1c[nH]cn1', 'CN(C)S(=O)(=O)Cl']"
2025,OCCc1nccn1CCCc1ccc(O)cc1,OCCc1nccn1CCCc1ccc(OCc2ccccc2)cc1,6,"['OCCc1ncc[nH]1', 'Oc1ccc(CCCBr)cc1']",[],['OCCc1nccn1CCCc1ccc(O)cc1'],0.0,0.0,"['OCCc1ncc[nH]1', 'Oc1ccc(CCCBr)cc1']",['OCCc1nccn1CCCc1ccc(OCc2ccccc2)cc1']
2067,COc1ccc(C2CNC2)cc1,COc1ccc(C2CN(C(=O)OC(C)(C)C)C2)cc1,6,['COc1ccc(C2CN(C(=O)OCc3ccccc3)C2)cc1'],[],['COc1ccc(C2CNC2)cc1'],0.0,0.0,['COc1ccc(C2CN(C(=O)OCc3ccccc3)C2)cc1'],['COc1ccc(C2CN(C(=O)OC(C)(C)C)C2)cc1']
2165,COc1cc(O)c2c(c1C(=O)NCc1ccc(C)c3ccccc13)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C,COc1cc(O)c2c(c1C(N)=O)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C.Cc1ccc(C=O)c2ccccc12,1,"['COc1cc(O)c2c(c1)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C', 'CNCc1ccc(C)c2ccccc12']",[],['COc1cc(O)c2c(c1C(=O)NCc1ccc(C)c3ccccc13)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C'],0.0,0.0,"['COc1cc(O)c2c(c1)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C', 'CNCc1ccc(C)c2ccccc12']","['COc1cc(O)c2c(c1C(N)=O)OC1=CC(O)=C(C(C)=O)C(=O)[C@]12C', 'Cc1ccc(C=O)c2ccccc12']"
2189,CC(C)(CC1(C(F)(F)F)CO1)c1cccc(C2(C)OCCO2)c1,CC(C)(CC(=O)C(F)(F)F)c1cccc(C2(C)OCCO2)c1.C[S+](C)(C)=O,4,"['CC(C)(Br)CC1(C(F)(F)F)CO1', 'CC1(c2ccc(B(O)O)cc2)OCCO1']",[],['CC(C)(CC1(C(F)(F)F)CO1)c1cccc(C2(C)OCCO2)c1'],0.0,0.0,"['CC(C)(Br)CC1(C(F)(F)F)CO1', 'CC1(c2ccc(B(O)O)cc2)OCCO1']","['CC(C)(CC(=O)C(F)(F)F)c1cccc(C2(C)OCCO2)c1', 'C[S+](C)(C)=O']"
2287,Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(-c2ncccn2)s1,CCCC[Sn](CCCC)(CCCC)c1ncccn1.Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(Br)s1,3,"['Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(-c2ncccn2)s1', 'BrCc1ccccc1']",[],['Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(-c2ncccn2)s1'],0.0,0.0,"['O[C@H]1[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](c2ccc(Cl)c(Cc3ccc(-c4ncccn4)s3)c2)O[C@@H]1COCc1ccccc1', 'BrCc1ccccc1']","['CCCC[Sn](CCCC)(CCCC)c1ncccn1', 'Clc1ccc([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1Cc1ccc(Br)s1']"
2288,NCCC1(O)C2=C(C=CCS2)Oc2ccccc21,N#CCC1(O)C2=C(C=CCS2)Oc2ccccc21,7,['C1=C(C=CCS1)Br'],[],['NCCC1(O)C2=C(C=CCS2)Oc2ccccc21'],0.0,0.0,['BrC1=CSCC=C1'],['N#CCC1(O)C2=C(C=CCS2)Oc2ccccc21']
2303,N=C(N)N1CCCc2ccc(OCC3(C(=O)O)CCN(c4ccncc4)CC3)cc2C1,CCOC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CCC3)CCN(c2ccncc2)CC1,6,['CC(C)(C)OC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CCC3)CCN(c2ccncc2)CC1'],[],['N=C(N)N1CCCc2ccc(OCC3(C(=O)O)CCN(c4ccncc4)CC3)cc2C1'],0.0,0.0,['CC(C)(C)OC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CCC3)CCN(c2ccncc2)CC1'],['CCOC(=O)C1(COc2ccc3c(c2)CN(C(=N)N)CCC3)CCN(c2ccncc2)CC1']
