target_smiles_canonical,product_smiles_canonical,reactant_smiles_canonical,stability_score,stability_assessment,stability_issues,hallucination_score,hallucination_severity
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,CCc1nc(C)c(C(=O)O)o1,CCc1nc(C)c(C(=O)OC)o1,100,Likely stable,,95,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,COC(=O)CC12CCC(c3ccc(-c4ccc(N)cc4)cc3)(CC1)CO2,Nc1ccc(Br)cc1,100,Likely stable,,90,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,COC(=O)CC12CCC(c3ccc(-c4ccc(N)cc4)cc3)(CC1)CO2,COC(=O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2,,,,90,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,Nc1ccc(Br)cc1,O=[N+]([O-])c1ccc(Br)cc1,100,Likely stable,,90,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,COC(=O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2,O=C(O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2,,,,95,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,COC(=O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2,CO,100,Likely stable,,95,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,O=C(O)CC12CCC(c3ccc(Br)cc3)(CC1)CO2,O=C(O)CC1(O)CCC(CO)(c2ccc(Br)cc2)CC1,100,Likely stable,,45,medium
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,O=C(O)CC1(O)CCC(CO)(c2ccc(Br)cc2)CC1,O=C1CCC(=O)N1Br,95,Likely stable,,55,medium
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,O=C(O)CC1(O)CCC(CO)(c2ccc(Br)cc2)CC1,O=C(O)CC1(O)CCC(CO)(c2ccccc2)CC1,100,Likely stable,,55,medium
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,O=C(O)CC1(O)CCC(CO)(c2ccccc2)CC1,CCOC(=O)CC1(O)CCC(CO)(c2ccccc2)CC1,100,Likely stable,,90,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,CCOC(=O)CC1(O)CCC(CO)(c2ccccc2)CC1,CCOC(=O)CBr,100,Likely stable,,95,low
CCc1nc(C)c(C(=O)Nc2ccc(-c3ccc(C45CCC(CC(=O)OC)(CC4)OC5)cc3)cc2)o1,CCOC(=O)CC1(O)CCC(CO)(c2ccccc2)CC1,O=C1CCC(CO)(c2ccccc2)CC1,100,Likely stable,,95,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1O,100,Likely stable,,95,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,OCCNCCCl,,,,95,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1O,COc1cc2c(Oc3cc(C)c(C)nc3Br)ccnc2cc1O,100,Likely stable,,90,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1O,Cc1cccc(B(O)O)n1,100,Likely stable,,90,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3Br)ccnc2cc1O,Cc1cc(O)c(Br)nc1C,100,Likely stable,,95,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,COc1cc2c(Oc3cc(C)c(C)nc3Br)ccnc2cc1O,COc1cc2c(Cl)ccnc2cc1O,100,Likely stable,,95,low
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,Cc1cc(O)c(Br)nc1C,Cc1cc(O)cnc1C,100,Likely stable,,55,medium
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,Cc1cc(O)c(Br)nc1C,O=C1CCC(=O)N1Br,95,Likely stable,,55,medium
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,Cc1cccc(B(O)O)n1,Cc1cccc(Br)n1,100,Likely stable,,55,medium
COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO,Cc1cccc(B(O)O)n1,CC(C)OB(OC(C)C)OC(C)C,100,Likely stable,,55,medium
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,O=C(Cl)CO,,,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,FC(F)(F)Cn1ncnc1-c1cc2n(n1)-c1c(cccc1C1CCNCC1)OCC2,,,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,FC(F)(F)Cn1ncnc1-c1cc2n(n1)-c1c(cccc1C1CCNCC1)OCC2,Oc1cccc(C2CCNCC2)c1-n1nc(-c2ncnn2CC(F)(F)F)cc1CCBr,,,,70,medium
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,Oc1cccc(C2CCNCC2)c1-n1nc(-c2ncnn2CC(F)(F)F)cc1CCBr,CCc1cc(-c2ncnn2CC(F)(F)F)nn1-c1c(O)cccc1C1CCNCC1,,,,90,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(-c2ncnn2CC(F)(F)F)nn1-c1c(O)cccc1C1CCNCC1,CCc1cc(Br)nn1-c1c(O)cccc1C1CCNCC1,,,,90,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(-c2ncnn2CC(F)(F)F)nn1-c1c(O)cccc1C1CCNCC1,OB(O)c1cnnn1CC(F)(F)F,,,,90,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(Br)nn1-c1c(O)cccc1C1CCNCC1,Oc1cccc(Br)c1C1CCNCC1,100,Likely stable,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(Br)nn1-c1c(O)cccc1C1CCNCC1,CCc1cc(Br)n[nH]1,100,Likely stable,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,Oc1cccc(Br)c1C1CCNCC1,COc1cccc(Br)c1C1CCNCC1,100,Likely stable,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,COc1cccc(Br)c1C1CCNCC1,COc1cccc(Br)c1C1=CCN(Cc2ccccc2)CC1,100,Likely stable,,0,critical
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,COc1cccc(Br)c1C1=CCN(Cc2ccccc2)CC1,COc1cccc(Br)c1C1(O)CCN(Cc2ccccc2)CC1,100,Likely stable,,95,low
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,COc1cccc(Br)c1C1(O)CCN(Cc2ccccc2)CC1,COc1cccc(Br)c1,100,Likely stable,,0,critical
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,COc1cccc(Br)c1C1(O)CCN(Cc2ccccc2)CC1,O=C1CCN(Cc2ccccc2)CC1,100,Likely stable,,0,critical
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(Br)n[nH]1,CCc1ccn[nH]1,100,Likely stable,,30,high
O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1,CCc1cc(Br)n[nH]1,O=C1CCC(=O)N1Br,95,Likely stable,,30,high
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(N)(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)CO1,,,,45,medium
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(N)(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)CO1,Sc1cccc(OCc2ccccc2)c1,100,Likely stable,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(N)(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)CO1,CC1(C)OCC(N)(C2CCc3cc(Br)ccc3C2)CO1,,,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,Sc1cccc(OCc2ccccc2)c1,CCOC(=S)Sc1cccc(OCc2ccccc2)c1,100,Likely stable,,85,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CCOC(=S)Sc1cccc(OCc2ccccc2)c1,CCOC(=S)S,100,Likely stable,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CCOC(=S)Sc1cccc(OCc2ccccc2)c1,Nc1cccc(OCc2ccccc2)c1,100,Likely stable,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(N)(C2CCc3cc(Br)ccc3C2)CO1,CC1(C)OCC(C#N)(C2CCc3cc(Br)ccc3C2)CO1,,,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(C#N)(C2CCc3cc(Br)ccc3C2)CO1,CC1(C)OCC(C#N)CO1,60,Moderately stable,Contains carbene (highly reactive intermediate),95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(C#N)(C2CCc3cc(Br)ccc3C2)CO1,Brc1ccc2c(c1)CCC(Br)C2,,,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(C#N)CO1,CC1(C)OCC(C(N)=O)CO1,95,Likely stable,,95,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(C(N)=O)CO1,CCN(CC)CC,100,Likely stable,,70,medium
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,CC1(C)OCC(C(N)=O)CO1,CC1(C)OCC(C(=O)O)CO1,95,Likely stable,,70,medium
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,Brc1ccc2c(c1)CCC(Br)C2,c1ccc2c(c1)CCCC2,100,Likely stable,,80,low
CC(C)(C)OC(=O)NC1(C2CCc3cc(Sc4cccc(OCc5ccccc5)c4)ccc3C2)COC(C)(C)OC1,c1ccc2c(c1)CCCC2,O=C1CCCc2ccccc21,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCC[C@H](N)CCO,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1Cl,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCC[C@H](N)CCO,CCC[C@H](N)CC(=O)O,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1Cl,O=P(Cl)(Cl)Cl,100,Likely stable,,90,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1Cl,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1O,100,Likely stable,,90,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1O,Cc1nc(N)nc(O)c1CO,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,COc1cc(CN2CCC[C@@H]2C(=O)O)ccc1Cc1c(C)nc(N)nc1O,COc1cccc(CN2CCC[C@@H]2C(=O)O)c1,100,Likely stable,,95,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,Cc1nc(N)nc(O)c1CO,N=C(N)N,100,Likely stable,,25,high
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,Cc1nc(N)nc(O)c1CO,CCOC(=O)C(CO)C(C)=O,100,Likely stable,,25,high
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCOC(=O)C(CO)C(C)=O,CCOC(=O)C(C=O)C(C)=O,100,Likely stable,,100,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCOC(=O)C(C=O)C(C)=O,CCOC=O,100,Likely stable,,90,low
CCC[C@@H](CCO)Nc1nc(N)nc(C)c1Cc1ccc(CN2CCC[C@@H]2C(=O)O)cc1OC,CCOC(=O)C(C=O)C(C)=O,CCOC(=O)CC(C)=O,100,Likely stable,,90,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Cl)ccc12,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,Nc1ccon1,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Cl)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)O)ccc12,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)O)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1Br,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)O)ccc12,OB(O)c1nncc2cc(O)ccc12,,,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1Br,Nc1cccc(C(F)(F)F)c1,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1Br,COc1ccc(F)cc1Br,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,OB(O)c1nncc2cc(O)ccc12,Oc1ccc2c(Br)nncc2c1,100,Likely stable,,80,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,Oc1ccc2c(Br)nncc2c1,CC(=O)Oc1ccc2c(Br)nncc2c1,100,Likely stable,,90,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,CC(=O)Oc1ccc2c(Br)nncc2c1,CC(=O)OO,100,Likely stable,,90,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,CC(=O)Oc1ccc2c(Br)nncc2c1,CC(=O)c1ccc2c(Br)nncc2c1,100,Likely stable,,90,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,CC(=O)c1ccc2c(Br)nncc2c1,CC(=O)Cl,100,Likely stable,,95,low
COc1cc(-c2cccc(C(F)(F)F)c2)c(F)cc1-c1nncc2cc(S(=O)(=O)Nc3ccon3)ccc12,CC(=O)c1ccc2c(Br)nncc2c1,Brc1nncc2ccccc12,100,Likely stable,,95,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCOC(=O)CC(=O)OCC,100,Likely stable,,80,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCC/C=C/[C@H]1CC[C@H](Br)CC1,100,Likely stable,,80,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCOC(=O)CC(=O)OCC,CCOC(C)=O,100,Likely stable,,90,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCOC(=O)CC(=O)OCC,CCOC(=O)OCC,100,Likely stable,,90,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCC/C=C/[C@H]1CC[C@H](Br)CC1,CCCC(Br)[C@H]1CC[C@H](Br)CC1,100,Likely stable,,95,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCCC(Br)[C@H]1CC[C@H](Br)CC1,CCCC=C1CC=CCC1,100,Likely stable,,80,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCCC=C1CC=CCC1,C=CCCC,100,Likely stable,,90,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,CCCC=C1CC=CCC1,C=C1CC=CCC1,100,Likely stable,,90,low
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,C=C1CC=CCC1,C1CCOC1,95,Likely stable,,60,medium
CCC/C=C/[C@H]1CC[C@H](C(C(=O)O)C(=O)O)CC1,C=C1CC=CCC1,O=C1CC=CCC1,100,Likely stable,,60,medium
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,CCOC(=O)[C@H]1C[C@@H]1COc1cc(CCCOC)cc(CNC2CC2)c1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)O)cc2)c(Cl)c1,,,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,CCOC(=O)[C@H]1C[C@@H]1COc1cc(CCCOC)cc(CNC2CC2)c1,CCOC(=O)[C@H]1C[C@@H]1CO,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,CCOC(=O)[C@H]1C[C@@H]1COc1cc(CCCOC)cc(CNC2CC2)c1,COCCCc1cc(F)cc(CNC2CC2)c1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(F)cc(CNC2CC2)c1,COCCCc1cc(F)cc(C(=O)NC2CC2)c1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(F)cc(C(=O)NC2CC2)c1,NC1CC1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,COCCCc1cc(F)cc(C(=O)NC2CC2)c1,COCCCc1cc(F)cc(C(=O)O)c1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)O)cc2)c(Cl)c1,O=C(O)[C@H]1CNCC[C@@H]1c1ccc(O)cc1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)O)cc2)c(Cl)c1,Cc1cc(Cl)c(OCCCl)c(Cl)c1,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,O=C(O)[C@H]1CNCC[C@@H]1c1ccc(O)cc1,OC[C@H]1CNCC[C@@H]1c1ccc(O)cc1,100,Likely stable,,90,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,OC[C@H]1CNCC[C@@H]1c1ccc(O)cc1,O=CC[C@H](CCNC[C@H](O)C=O)c1ccc(O)cc1,,,,40,medium
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,O=CC[C@H](CCNC[C@H](O)C=O)c1ccc(O)cc1,O=CCC(CC=O)c1ccc(O)cc1,,,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,O=CC[C@H](CCNC[C@H](O)C=O)c1ccc(O)cc1,NC[C@H](O)C=O,100,Likely stable,,95,low
CCOC(=O)[C@@H]1C[C@H]1COc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,O=CCC(CC=O)c1ccc(O)cc1,OCCC(CCO)c1ccc(O)cc1,,,,100,low
